Key,Value
Delta_1,hCoV-19/Ghana/NMIMR-NCOV-21-57079/2021|EPI_ISL_8065860|2021-10-04
Delta_2,hCoV-19/Ghana/NMIMR-NCOV-21-57083/2021|EPI_ISL_8065876|2021-10-06
Delta_3,hCoV-19/Ghana/NMIMR-NUR-21-33307/2021|EPI_ISL_8065891|2021-10-09
Delta_4,hCoV-19/Ghana/NMIMR-NCOV-21-58758/2021|EPI_ISL_8065913|2021-10-15
Delta_5,hCoV-19/Ghana/NMIMR-CT-21-19713/2021|EPI_ISL_8065926|2021-10-20
Delta_6,hCoV-19/Ghana/NMIMR-CT-21-19740/2021|EPI_ISL_8065929|2021-10-21
Delta_7,hCoV-19/Ghana/NMIMR-NUR-21-34371/2021|EPI_ISL_8065944|2021-10-29
Delta_8,hCoV-19/Ghana/NMIMR-NCOV-21-59660/2021|EPI_ISL_8065949|2021-11-01
Delta_9,hCoV-19/Ghana/NMIMR-NCOV-21-60455/2021|EPI_ISL_8065964|2021-11-25
Delta_10,hCoV-19/Ghana/NMIMR-PUR-21-13796/2021|EPI_ISL_8065965|2021-11-29
Omicron_1,hCoV-19/Ghana/TRA-2298/2021|EPI_ISL_6939033|2021-11-25
Omicron_2,hCoV-19/Ghana/TRA-2303/2021|EPI_ISL_6939034|2021-11-25
Omicron_3,hCoV-19/Ghana/TRA-2366/2021|EPI_ISL_7661095|2021-11-28
Omicron_4,hCoV-19/Ghana/NMIMR-NCOV-21-60738/2021|EPI_ISL_8065967|2021-12-07
Omicron_5,hCoV-19/Ghana/NMIMR-NCOV-21-60809/2021|EPI_ISL_8065971|2021-12-08
Omicron_6,hCoV-19/Ghana/NMIMR-NCOV-21-60813/2021|EPI_ISL_8065973|2021-12-08
Omicron_7,hCoV-19/Ghana/NMIMR-NUR-21-35969/2021|EPI_ISL_8065975|2021-12-08
Omicron_8,hCoV-19/Ghana/NMIMR-PUR-21-14127/2021|EPI_ISL_8065980|2021-12-09
Omicron_9,hCoV-19/Ghana/NMIMR-NUR-21-36176/2021|EPI_ISL_8065985|2021-12-11
Omicron_10,hCoV-19/Ghana/NMIMR-NUR-21-36360/2021|EPI_ISL_8065986|2021-12-16
